game,point,tournament,opponent,timestamp,score,gendermatch,starting,force,opp_force,offense_set,defense_set,players,num_throws_opp,num_breaks_opp,num_throws_pbr,num_breaks_pbr,num_turns,num_blocks,scoring_team,goal,assist,hockey_assist,score_notes,notes
g002,p001,rr1,mischief,00:00:00,1-0,f2,o,,,,,"courtney,margo,malia,carol,eric,orion,sawyer",,,,,,,,,,,,
g002,p002,rr1,mischief,,1-1,c1,d,,,,,"jesse,emma,visakha,emmet,carson,devin,jonah",,,,,,,,,,,,
g002,p003,rr1,mischief,,2-1,c2,o,,,,,"aviva,jess,tuna,crawford,eric,yeagle,jack",,,,,,,,,,,,
g002,p004,rr1,mischief,,2-2,f1,d,,,,,"molly,monica,ash,sara,selim,lincoln,seamus",,,,,,,,,,,,
g002,p005,rr1,mischief,,3-2,f2,o,,,,,"courtney,cass,tuna,ruby,crawford,orion,juleon",,,,,,,,,,,,
g002,p006,rr1,mischief,,3-3,c1,d,,,,,"jesse,emma,vail,carson,lincoln,seamus,princess",,,,,,,,,,,,
g002,p007,rr1,mischief,,3-4,c2,o,,,,,"malia,margo,carol,emmet,tristan,yeagle,sawyer",,,,,,,,,,,,
g002,p008,rr1,mischief,,4-4,f1,o,,,,,"aviva,courtney,jess,tuna,eric,orion,jack",,,,,,,,,,,,
g002,p009,rr1,mischief,,4-5,f2,d,,,,,"molly,ash,visakha,vail,selim,devin,jonah",,,,,,,,,,,,
g002,p010,rr1,mischief,,5-5,c1,o,,,,,"cass,margo,ruby,crawford,tristan,yeagle,juleon",,,,,,,,,,,,
g002,p011,rr1,mischief,,5-6,c2,d,,,,,"jesse,monica,sara,carson,lincoln,seamus,princess",,,,,,,,,,,,
g002,p012,rr1,mischief,,5-7,f1,o,,,,,"aviva,malia,jess,margo,crawford,eric,jack",,,,,,,,,,,,
g002,p013,rr1,mischief,,6-7,f2,o,,,,,"courtney,molly,carol,ruby,emmet,orion,sawyer",,,,,,,,,,,,
g002,p014,rr1,mischief,,6-8,c1,d,,,,,"cass,ash,emma,selim,lincoln,devin,jonah",,,,,,,,,,,,
g002,p015,rr1,mischief,,6-9,c2,d,,,,,"jesse,sara,vail,tristan,selim,seamus,princess",,,,,,,,,,,,
g002,p016,rr1,mischief,,6-10,f1,o,,,,,"aviva,malia,margo,tuna,crawford,orion,juleon",,,,,,,,,,,,
g002,p017,rr1,mischief,,7-10,f2,o,,,,,"courtney,cass,jess,monica,eric,emmet,yeagle",,,,,,,,,,,,
g002,p018,rr1,mischief,,7-11,c1,d,,,,,"molly,ash,visakha,carson,devin,sawyer,jonah",,,,,,,,,,,,
g002,p019,rr1,mischief,,7-12,c2,o,,,,,"malia,carol,ruby,crawford,tristan,juleon,jack",,,,,,,,,,,,
g002,p020,rr1,mischief,,8-12,f1,o,,,,,"jesse,molly,margo,emma,selim,orion,seamus",,,,,,,,,,,,
g002,p021,rr1,mischief,,8-13,f2,d,,,,,"cass,monica,visakha,vail,carson,lincoln,princess",,,,,,,,,,,,
g002,p022,rr1,mischief,,8-14,c1,o,,,,,"aviva,jess,tuna,eric,emmet,yeagle,jack",,,,,,,,,,,,
g002,p023,rr1,mischief,,9-14,c2,o,,,,,"courtney,malia,sara,crawford,selim,sawyer,jonah",,,,,,,,,,,,
g002,p024,rr1,mischief,,9-15,f1,d,,,,,"jesse,ash,emma,vail,tristan,devin,jonah",,,,,,,,,,,,
